Ticker,Name
UNH,UnitedHealth Group Incorporated
GS,Goldman Sachs Group Inc.
HD,Home Depot Inc.
AMGN,Amgen Inc.
MCD,McDonald's Corporation
MSFT,Microsoft Corporation
CAT,Caterpillar Inc.
HON,Honeywell International Inc.
V,Visa Inc. Class A
TRV,Travelers Companies Inc.
CVX,Chevron Corporation
JNJ,Johnson & Johnson
BA,Boeing Company
AXP,American Express Company
WMT,Walmart Inc.
CRM,Salesforce Inc.
AAPL,Apple Inc.
IBM,International Business Machines Corporation
PG,Procter & Gamble Company
JPM,JPMorgan Chase & Co.
MMM,3M Company
MRK,Merck & Co. Inc.
NKE,NIKE Inc. Class B
DIS,Walt Disney Company
KO,Coca-Cola Company
DOW,Dow Inc.
CSCO,Cisco Systems Inc.
WBA,Walgreens Boots Alliance Inc.
VZ,Verizon Communications Inc.
INTC,Intel Corporation
