Ticker,Name
ABI.BR,Anheuser-Busch InBev
AD.AS,Ahold Delhaize
ADS.DE,Adidas
ADYEN.AS,Adyen
AI.PA,Air Liquide
AIR.PA,Airbus
ALV.DE,Allianz
ASML.AS,ASML Holding
BAS.DE,BASF
BAYN.DE,Bayer
BBVA.MC,BBVA
BMW.DE,BMW
BN.PA,Danone
BNP.PA,BNP Paribas
CRG.IR,CRH
CS.PA,AXA
DB1.DE,Deutsche Börse
DG.PA,Vinci SA
DPW.DE,Deutsche Post
DTE.DE,Deutsche Telekom
EL.PA,EssilorLuxottica
ENEL.MI,Enel
ENI.MI,Eni
FLTR.IR,Flutter Entertainment
IBE.MC,Iberdrola
IFX.DE,Infineon Technologies
INGA.AS,ING Group
ISP.MI,Intesa Sanpaolo
ITX.MC,Inditex
KER.PA,Kering
KNEBV.HE,Kone
LIN.DE,Linde plc
MBG.DE,Mercedes-Benz Group
MC.PA,LVMH Moët Hennessy Louis Vuitton
MUV2.DE,Munich Re
OR.PA,L'Oréal
PHIA.AS,Philips
PRX.AS,Prosus
RI.PA,Pernod Ricard
RMS.PA,Hermès
SAF.PA,Safran
SAN.MC,Banco Santander
SAN.PA,Sanofi
SAP.DE,SAP
SIE.DE,Siemens
STLA.MI,Stellantis
SU.PA,Schneider Electric
TTE.PA,TotalEnergies
VNA.DE,Vonovia
VOW.DE,Volkswagen Group
